Weeks,Genotype,N,n,Phenotype
6,Control,1,1,1
6,Control,1,2,1
6,Control,1,3,1
6,Control,1,4,1
6,Control,1,5,1
6,Control,1,6,1
6,Control,1,7,1
6,Control,1,8,1
6,Control,1,9,1
6,Control,1,10,1
6,Control,1,11,1
6,Control,1,12,1
6,Control,1,13,1
6,Control,1,14,1
6,Control,1,15,1
6,Control,1,16,1
6,Control,1,17,0
6,Control,1,18,0
6,Control,1,19,0
6,Control,1,20,0
6,Control,1,21,0
6,Control,1,22,0
6,Control,1,23,0
6,Control,1,24,0
6,Control,1,25,0
6,Control,1,26,0
6,Control,1,27,0
6,Control,1,28,0
6,Control,1,29,0
6,Control,1,30,0
6,Control,1,31,0
6,Exp,1,1,1
6,Exp,1,2,1
6,Exp,1,3,1
6,Exp,1,4,0
6,Exp,1,5,0
6,Exp,1,6,0
6,Exp,1,7,0
6,Exp,1,8,0
6,Exp,1,9,0
6,Exp,1,10,0
6,Exp,1,11,0
6,Exp,1,12,0
6,Exp,1,13,0
6,Exp,1,14,0
6,Exp,1,15,0
6,Exp,1,16,0
6,Exp,1,17,0
6,Exp,1,18,0
6,Exp,1,19,0
6,Exp,1,20,0
6,Exp,1,21,0
6,Exp,1,22,0
6,Exp,1,23,0
6,Exp,1,24,0
6,Exp,1,25,0
6,Exp,1,26,0
6,Exp,1,27,0
6,Exp,1,28,0
6,Exp,1,29,0
6,Exp,1,30,0
6,Exp,1,31,0
6,Exp,1,32,0
6,Exp,1,33,0
6,Exp,1,34,0
6,Exp,1,35,0
6,Exp,1,36,0
6,Exp,1,37,0
6,Exp,1,38,0
6,Exp,1,39,0
6,Exp,1,40,0
6,Exp,1,41,0
6,Exp,1,42,0
6,Exp,1,43,0
6,Exp,1,44,0
1,Control,1,1,1
1,Control,1,2,1
1,Control,1,3,1
1,Control,1,4,0
1,Control,1,5,0
1,Control,1,6,0
1,Control,1,7,0
1,Control,1,8,0
1,Control,1,9,0
1,Control,1,10,0
1,Control,1,11,0
1,Control,1,12,0
1,Control,1,13,0
1,Control,1,14,0
1,Control,1,15,0
1,Control,1,16,0
1,Control,1,17,0
1,Control,1,18,0
1,Control,1,19,0
1,Control,1,20,0
1,Control,1,21,0
1,Control,1,22,0
1,Control,1,23,0
1,Control,1,24,0
1,Control,1,25,0
1,Control,1,26,0
1,Control,1,27,0
1,Control,1,28,0
1,Control,1,29,0
1,Control,1,30,0
1,Control,1,31,0
1,Control,1,32,0
1,Control,1,33,0
1,Control,1,34,0
1,Control,1,35,0
1,Control,1,36,0
1,Control,1,37,0
1,Control,1,38,0
1,Control,1,39,0
1,Exp,1,1,1
1,Exp,1,2,1
1,Exp,1,3,1
1,Exp,1,4,1
1,Exp,1,5,1
1,Exp,1,6,1
1,Exp,1,7,1
1,Exp,1,8,1
1,Exp,1,9,1
1,Exp,1,10,1
1,Exp,1,11,1
1,Exp,1,12,1
1,Exp,1,13,1
1,Exp,1,14,1
1,Exp,1,15,1
1,Exp,1,16,1
1,Exp,1,17,1
1,Exp,1,18,1
1,Exp,1,19,1
1,Exp,1,20,1
1,Exp,1,21,1
1,Exp,1,22,0
1,Exp,1,23,0
1,Exp,1,24,0
1,Exp,1,25,0
1,Exp,1,26,0
1,Exp,1,27,0
1,Exp,1,28,0
1,Exp,1,29,0
1,Exp,1,30,0
1,Exp,1,31,0
1,Exp,1,32,0
1,Exp,1,33,0
1,Exp,1,34,0
1,Exp,1,35,0
1,Exp,1,36,0
1,Exp,1,37,0
1,Exp,1,38,0
1,Exp,1,39,0
1,Exp,1,40,0
1,Exp,1,41,0
1,Exp,1,42,0
1,Exp,1,43,0
1,Exp,1,44,0
1,Exp,1,45,0
1,Exp,1,46,0
1,Exp,1,47,0
1,Exp,1,48,0
1,Exp,1,49,0
1,Exp,1,50,0
1,Exp,1,51,0
1,Exp,1,52,0
1,Exp,1,53,0
1,Exp,1,54,0
1,Exp,1,55,0
1,Exp,1,56,0
1,Exp,1,57,0
1,Exp,1,58,0
1,Exp,1,59,0
1,Exp,1,60,0
1,Exp,1,61,0
1,Exp,1,62,0
1,Exp,1,63,0
1,Exp,1,64,0
1,Exp,1,65,0
1,Exp,1,66,0
1,Exp,1,67,0
1,Exp,1,68,0
1,Exp,1,69,0
1,Exp,1,70,0
1,Exp,1,71,0
1,Exp,1,72,0
1,Exp,1,73,0
1,Exp,1,74,0
1,Exp,1,75,0
1,Exp,1,76,0
1,Exp,1,77,0
1,Exp,1,78,0
1,Exp,1,79,0
1,Exp,1,80,0
1,Exp,1,81,0
1,Exp,1,82,0
1,Exp,1,83,0
1,Exp,1,84,0
1,Exp,1,85,0
1,Exp,1,86,0
1,Exp,1,87,0
1,Exp,1,88,0
1,Exp,1,89,0
1,Exp,1,90,0
1,Exp,1,91,0
1,Exp,1,92,0
1,Exp,1,93,0
1,Exp,1,94,0
1,Exp,1,95,0
1,Exp,1,96,0
1,Exp,1,97,0
1,Exp,1,98,0
1,Exp,1,99,0
1,Exp,1,100,0
1,Exp,1,101,0
1,Exp,1,102,0
1,Exp,1,103,0
1,Exp,1,104,0
1,Exp,1,105,0
1,Exp,1,106,0
1,Exp,1,107,0
1,Exp,1,108,0
1,Exp,1,109,0
1,Exp,1,110,0
1,Exp,1,111,0
1,Exp,1,112,0
1,Exp,1,113,0
1,Exp,1,114,0
1,Exp,1,115,0
1,Exp,1,116,0
1,Exp,1,117,0
1,Exp,1,118,0
1,Exp,1,119,0
1,Exp,1,120,0
1,Exp,1,121,0
1,Exp,1,122,0
1,Exp,1,123,0
6,Control,2,1,1
6,Control,2,2,1
6,Control,2,3,1
6,Control,2,4,1
6,Control,2,5,1
6,Control,2,6,1
6,Control,2,7,1
6,Control,2,8,1
6,Control,2,9,1
6,Control,2,10,1
6,Control,2,11,1
6,Control,2,12,1
6,Control,2,13,0
6,Control,2,14,0
6,Control,2,15,0
6,Control,2,16,0
6,Control,2,17,0
6,Control,2,18,0
6,Control,2,19,0
6,Control,2,20,0
6,Exp,2,1,1
6,Exp,2,2,1
6,Exp,2,3,1
6,Exp,2,4,1
6,Exp,2,5,1
6,Exp,2,6,1
6,Exp,2,7,1
6,Exp,2,8,1
6,Exp,2,9,1
6,Exp,2,10,1
6,Exp,2,11,1
6,Exp,2,12,1
6,Exp,2,13,1
6,Exp,2,14,1
6,Exp,2,15,1
6,Exp,2,16,1
6,Exp,2,17,1
6,Exp,2,18,1
6,Exp,2,19,0
6,Exp,2,20,0
6,Exp,2,21,0
6,Exp,2,22,0
6,Exp,2,23,0
6,Exp,2,24,0
6,Exp,2,25,0
6,Exp,2,26,0
6,Exp,2,27,0
6,Exp,2,28,0
6,Exp,2,29,0
6,Exp,2,30,0
6,Exp,2,31,0
6,Exp,2,32,0
6,Exp,2,33,0
6,Exp,2,34,0
6,Exp,2,35,0
6,Exp,2,36,0
6,Exp,2,37,0
6,Exp,2,38,0
6,Exp,2,39,0
6,Exp,2,40,0
6,Exp,2,41,0
6,Exp,2,42,0
6,Exp,2,43,0
6,Exp,2,44,0
6,Exp,2,45,0
6,Exp,2,46,0
6,Exp,2,47,0
6,Exp,2,48,0
6,Exp,2,49,0
6,Exp,2,50,0
6,Exp,2,51,0
6,Exp,2,52,0
6,Exp,2,53,0
6,Exp,2,54,0
6,Exp,2,55,0
6,Exp,2,56,0
6,Exp,2,57,0
6,Exp,2,58,0
6,Exp,2,59,0
6,Exp,2,60,0
6,Exp,2,61,0
6,Exp,2,62,0
6,Exp,2,63,0
6,Exp,2,64,0
6,Exp,2,65,0
6,Exp,2,66,0
6,Exp,2,67,0
6,Exp,2,68,0
6,Exp,2,69,0
6,Exp,2,70,0
6,Exp,2,71,0
6,Exp,2,72,0
6,Exp,2,73,0
6,Exp,2,74,0
6,Exp,2,75,0
6,Exp,2,76,0
6,Exp,2,77,0
6,Exp,2,78,0
6,Exp,2,79,0
6,Exp,2,80,0
6,Exp,2,81,0
6,Exp,2,82,0
6,Exp,2,83,0
6,Exp,2,84,0
6,Exp,2,85,0
6,Exp,2,86,0
6,Exp,2,87,0
6,Exp,2,88,0
6,Exp,2,89,0
1,Control,2,1,1
1,Control,2,2,1
1,Control,2,3,1
1,Control,2,4,0
1,Control,2,5,0
1,Control,2,6,0
1,Control,2,7,0
1,Control,2,8,0
1,Control,2,9,0
1,Control,2,10,0
1,Control,2,11,0
1,Control,2,12,0
1,Control,2,13,0
1,Control,2,14,0
1,Control,2,15,0
1,Control,2,16,0
1,Control,2,17,0
1,Control,2,18,0
1,Control,2,19,0
1,Control,2,20,0
1,Control,2,21,0
1,Control,2,22,0
1,Control,2,23,0
1,Control,2,24,0
1,Control,2,25,0
1,Control,2,26,0
1,Control,2,27,0
1,Control,2,28,0
1,Control,2,29,0
1,Control,2,30,0
1,Control,2,31,0
1,Control,2,32,0
1,Control,2,33,0
1,Control,2,34,0
1,Control,2,35,0
1,Control,2,36,0
1,Control,2,37,0
1,Control,2,38,0
1,Control,2,39,0
1,Control,2,40,0
1,Control,2,41,0
1,Control,2,42,0
1,Control,2,43,0
1,Control,2,44,0
1,Exp,2,1,1
1,Exp,2,2,1
1,Exp,2,3,1
1,Exp,2,4,1
1,Exp,2,5,1
1,Exp,2,6,1
1,Exp,2,7,1
1,Exp,2,8,1
1,Exp,2,9,1
1,Exp,2,10,1
1,Exp,2,11,1
1,Exp,2,12,1
1,Exp,2,13,0
1,Exp,2,14,0
1,Exp,2,15,0
1,Exp,2,16,0
1,Exp,2,17,0
1,Exp,2,18,0
1,Exp,2,19,0
1,Exp,2,20,0
1,Exp,2,21,0
1,Exp,2,22,0
1,Exp,2,23,0
1,Exp,2,24,0
1,Exp,2,25,0
1,Exp,2,26,0
1,Exp,2,27,0
1,Exp,2,28,0
1,Exp,2,29,0
1,Exp,2,30,0
1,Exp,2,31,0
1,Exp,2,32,0
1,Exp,2,33,0
1,Exp,2,34,0
1,Exp,2,35,0
1,Exp,2,36,0
1,Exp,2,37,0
1,Exp,2,38,0
1,Exp,2,39,0
1,Exp,2,40,0
1,Exp,2,41,0
1,Exp,2,42,0
1,Exp,2,43,0
1,Exp,2,44,0
1,Exp,2,45,0
1,Exp,2,46,0
1,Exp,2,47,0
1,Exp,2,48,0
1,Exp,2,49,0
1,Exp,2,50,0
1,Exp,2,51,0
1,Exp,2,52,0
1,Exp,2,53,0
1,Exp,2,54,0
1,Exp,2,55,0
1,Exp,2,56,0
1,Exp,2,57,0
1,Exp,2,58,0
6,Control,3,1,1
6,Control,3,2,1
6,Control,3,3,1
6,Control,3,4,1
6,Control,3,5,1
6,Control,3,6,1
6,Control,3,7,0
6,Control,3,8,0
6,Control,3,9,0
6,Control,3,10,0
6,Exp,3,1,1
6,Exp,3,2,0
6,Exp,3,3,0
6,Exp,3,4,0
6,Exp,3,5,0
6,Exp,3,6,0
6,Exp,3,7,0
1,Control,3,1,1
1,Control,3,2,1
1,Control,3,3,1
1,Control,3,4,1
1,Control,3,5,1
1,Control,3,6,0
1,Control,3,7,0
1,Control,3,8,0
1,Control,3,9,0
1,Control,3,10,0
1,Control,3,11,0
1,Control,3,12,0
1,Control,3,13,0
1,Control,3,14,0
1,Control,3,15,0
1,Control,3,16,0
1,Control,3,17,0
1,Control,3,18,0
1,Control,3,19,0
1,Control,3,20,0
1,Control,3,21,0
1,Control,3,22,0
1,Control,3,23,0
1,Control,3,24,0
1,Control,3,25,0
1,Control,3,26,0
1,Control,3,27,0
1,Control,3,28,0
1,Control,3,29,0
1,Control,3,30,0
1,Control,3,31,0
1,Control,3,32,0
1,Exp,3,1,1
1,Exp,3,2,1
1,Exp,3,3,1
1,Exp,3,4,1
1,Exp,3,5,1
1,Exp,3,6,1
1,Exp,3,7,1
1,Exp,3,8,0
1,Exp,3,9,0
1,Exp,3,10,0
1,Exp,3,11,0
1,Exp,3,12,0
1,Exp,3,13,0
1,Exp,3,14,0
1,Exp,3,15,0
1,Exp,3,16,0
1,Exp,3,17,0
1,Exp,3,18,0
1,Exp,3,19,0
1,Exp,3,20,0
1,Exp,3,21,0
1,Exp,3,22,0
1,Exp,3,23,0
1,Exp,3,24,0
1,Exp,3,25,0
1,Exp,3,26,0
1,Exp,3,27,0
1,Exp,3,28,0
1,Exp,3,29,0
1,Exp,3,30,0
1,Exp,3,31,0
1,Exp,3,32,0
1,Exp,3,33,0
1,Exp,3,34,0
1,Exp,3,35,0
1,Exp,3,36,0
1,Exp,3,37,0
1,Exp,3,38,0
1,Exp,3,39,0
1,Exp,3,40,0
1,Exp,3,41,0
1,Exp,3,42,0
1,Exp,3,43,0
1,Exp,3,44,0
1,Exp,3,45,0
1,Exp,3,46,0
1,Exp,3,47,0
1,Exp,3,48,0
1,Exp,3,49,0
1,Exp,3,50,0
1,Exp,3,51,0
1,Exp,3,52,0
1,Exp,3,53,0
1,Exp,3,54,0
